title,images,category,description,price,sku
Mink 3D Hair Handmade Eyelashes,,marooffc,"Maroof Eyelash’s glamorous and dramatic lashes blend seamlessly with your own lash for an ultimate natural glam look, even with the most dramatic styles. These lashes are lightweight and sit perfectly along the lash line for comfortable all-day wear. Lilly Lashes are constructed with the finest attention to detail and quality. A pair of false eyelashes that flawlessly blend with your natural lashes for length, volume, and fullness.",,
Multicolor – Everglow Highlighter,"https://marooffc.com/wp-content/uploads/2023/10/B07P83LH71-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83LH71-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83LH71-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83LH71-4-100x100.jpg",marooffc,"A must-have for those who want a glowing complexion, a highlighter is an important part of the makeup process. It adds a touch of light that wakes up the complexion. it adapts to your skin to blend seamlessly. Use a highlighter to reveal a new depth of your facial beauty. A luxurious, slow-baked, velvety soft, domed face powder with a radiant finish. Blend all over for a sheer luminous polish to the skin.",,
Powder Puff 5 Pieces Set – Multicolored,,marooffc,"Not just any face sponge – it’s your ultimate complexion blender. This multi-use face sponge features an angled design for flawless application and blending of your favourite liquid and cream products. The angled sides work to hug the curves of your face with bronzer and blush, plus precisely cover imperfections with a concealer. Use the unique, non-absorbent silicone bottom for applying an all-over foundation, which also prevents dirt and excess product from seeping into the sponge.",,
Primer Matte Finish – 30ml,"https://marooffc.com/wp-content/uploads/2023/10/B07P83R66W-1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83R66W-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83R66W-4-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83R66W-3-100x100.jpg",marooffc,Dermatologically Tested. The formula is made with a definition coverage and with a matte finish. This liquid and silky makeup bring a very natural smoothness to the skin which hence keeps the skin comfortable and fresh all day.,,
Pro Concealer Cream – 8g,"https://marooffc.com/wp-content/uploads/2023/10/B07P6YMXHY_-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YMXHY_-2-rotated-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YMXHY_-3-rotated-1-100x100.jpg",marooffc,"Increase-resistant, opaque coverage in a creamy yet lightweight texture. The long-wearing formula camouflages darkness under the eyes, redness, and skin imperfections. Provides complete, natural-looking coverage evens skin tone, covers dark circles, and minimizes fine lines around the eyes. This blendable and buildable formula provides the ultimate, customizable coverage. This must-have concealer includes a soft brush tip for easy application.",,
Professional Make Up Kit,"https://marooffc.com/wp-content/uploads/2023/10/B08DNSDFLJ_-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B08DNSDFLJ_-2-100x100.jpg",marooffc,"This Maroof Makeup kit provides all the makeup accessories you require to achieve the right look for the right occasion. Perfect for professional makeup artists, this set is equipped with all the tools necessary. There’s something in the kit for the aspiring working professional and also for the beautiful bride-to-be. The compact design of the kit and its organized interior make sure you are ready to go at a moment’s notice.",,
Replumping Moisturizing Care Eye Cream,"https://marooffc.com/wp-content/uploads/2023/10/B07P97KL1Z-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD38WK-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97KL1Z-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97KL1Z-3-100x100.jpg",marooffc,"Replumping Moisturizing Care Eye Cream. Intensively hydrates hyaluronic expert, replumbs with moisture and smooths fine lines age 25 to 35 texture.
Lightweight and non-greasy for the best results, use together with the other products from the hyaluronic expert range, a Hyaluron Expert Replumping moisturizing SPF 20-day cream to protect & rehydrate skin, and a plumping moisturizing night cream mask to smooth & nourish the skin.
Tested under ophthalmological control suitable even for sensitive skin.",,
Soft Colored Contact Lenses,"https://marooffc.com/wp-content/uploads/2023/10/VM070701-1-scaled-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/VM070701-2-scaled-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/VM070701-3-1-scaled-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/81XHeMTF3RL._AC_SL1500_-100x100.jpg",marooffc,"MAROOF Professional Make-Up is highly pigmented and suitable for sensitive skin as the products are made from quality ingredients. Formulated to be stable, non-toxic and resists wear in unpredictable weather and temperature conditions. To use, apply a matte base coat. Deepen the crease with a darker shadow and blend with a lighter shade to create a gradient. Highlight the side of the eye with a contrasting shimmer shade in the form of V. Brighten the inner eye corner and eyebrow arch with a lighter shimmer shadow.",,
Waterproof Matte Liquid Dip-Liner 6ml,"https://marooffc.com/wp-content/uploads/2023/10/61BSIe1IwrL._AC_SX679_-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/51yNtuoZbFL._AC_SX679_-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/51DyqP5AF9L._AC_SX679_-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/61PZbmtFmZL._AC_SX679_-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/61Bm9iBA-L._AC_SX679_-100x100.jpg",marooffc,Accentuate your beautiful eyes with our Waterproof Matte Liquid Dip-Liner 6ml. smoky makeup effect to an ultra-fine line drawn with a dip in the brilliance of your eyes.,,
Wet and Dry Compact Foundation,"https://marooffc.com/wp-content/uploads/2023/10/B07P6YHQ37_-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YHQ37_-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YHQ37_-4-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YHQ37_-5-100x100.jpg",marooffc,"This specially designed three-way type of compact can be conveniently used for the dual effect of compact powder as well as foundation. Use compact as dry on smooth natural fresh looking skin. Use compact as wet for a moist, transparent, and healthy look of skin.",,
