title,images,category,description,price,sku
SOLAR MXXL FLOODLIGHT PLATO,http://www.platoled.com/assets/img/categories/FL%20Solar/FL%20Solar-9.webp,platoled,"Product name SOLAR MXXL FLOODLIGHT PLATO
Material ABS Shell
Color WHITE
IP Rating IP65
Color Temp 65K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
200 W | 300 W | 400 W | 600 W",,
Q-18 Streetlight,http://www.platoled.com/assets/img/categories/ST%20Normal/ST%20Normal-10.webp,platoled,"Product name Q-18 Streetlight
Material Aluminium
Color GRAY
IP Rating IP 65 | IP 66
Color Temp 6K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
100 W | 200 W",,
STREETLIGHT DB,http://www.platoled.com/assets/img/categories/ST%20Normal/DB.webp,platoled,"Product name STREETLIGHT DB
Material ALUM
Color GRAY
IP Rating IP 65
Color Temp 65 K
CRI 80
LM/W 130
PF >0.5
Vol 100 - 240 V
Available in
200 W | 300 W | 400 W",,
STREETLIGHT WB,http://www.platoled.com/assets/img/categories/ST%20Normal/WB.webp,platoled,"Product name STREETLIGHT WB
Material NA
Color GRAY
IP Rating NA
Color Temp 65 K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
50 W | 100 W | 150 W",,
Streetlight CN,http://www.platoled.com/assets/img/categories/ST%20Normal/ST%20Normal-11.webp,platoled,"Product name Streetlight CN
Material Aluminium
Color GRAY
IP Rating IP66
Color Temp 65K
CRI NA
LM/W 120
PF NA
Vol 110-240 V
Available in
150 W | 200 W",,
STREETLIGHT STMZ,http://www.platoled.com/assets/img/categories/ST%20Normal/ST%20Normal-3.webp,platoled,"Product name STREETLIGHT STMZ
Material Aluminium
Color Black
IP Rating NA
Color Temp 65K | 45K | 35K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
150 W | 200 W | 250 W | 300 W",,
STREETLIGHT BJ COB,http://www.platoled.com/assets/img/categories/ST%20Normal/ST%20Normal-6.webp,platoled,"Product name STREETLIGHT BJ COB
Material Aluminium
Color Black
IP Rating IP65
Color Temp 65K | 35K
CRI 70
LM/W 80
PF >0.5
Vol AC110-220V
Available in
50 W | 100 W | 150 W | 200 W | 250 W",,
STREETLIGHT HSMD PLATO,http://www.platoled.com/assets/img/categories/ST%20Normal/ST%20Normal-1.webp,platoled,"Product name STREETLIGHT HSMD PLATO
Material Aluminium
Color Gray
IP Rating IP65
Color Temp 65K
CRI 80
LM/W 80
PF >0.9
Vol 220V
Available in
50 W | 100 W | 150 W | 200 W | 300 W",,
SOLAR GF-OM,http://www.platoled.com/assets/img/categories/ST%20Solar/SOLAR%20GF-OM.webp,platoled,"Product name SOLAR GF-OM
Material ABS
Color GRAY
IP Rating IP 65
Color Temp 65 K
CRI NA
LM/W 100
PF NA
Vol NA
Available in
1000 W | 2000 W | 3000 W",,
SOLAR STREETLIGHT IS,http://www.platoled.com/assets/img/categories/ST%20Inbuilt/ST%20Inbuilt-7.webp,platoled,"Product name SOLAR STREETLIGHT IS
Material Aluminium
Color Gray
IP Rating NA
Color Temp 65K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
1000 W | 2000 W",,
